,CD3+CD8+,CD3 + CD4 +,CD3 +,,,
imunofen_A1.fcs,22.9,23.2,34.6,22.90%,23.20%,34.60%
imunofen_A2.fcs,9.66,8.81,31.6,9.66%,8.81%,31.60%
imunofen_A3.fcs,9.13,9.35,27.4,9.13%,9.35%,27.40%
mean,13.8966666666667,13.7866666666667,31.2,13.90%,13.79%,31.20%
std,7.80,8.16,3.62,7.80%,8.16%,3.62%
imunofen_B1.fcs,11.60,14.90,26.20,11.60%,14.90%,26.20%
imunofen_B2.fcs,6.95,7.52,19.60,6.95%,7.52%,19.60%
imunofen_B3.fcs,1.82,2.02,18.50,1.82%,2.02%,18.50%
mean,6.79,8.15,21.43,6.79%,8.15%,21.43%
std,4.89,6.46,4.16,4.89%,6.46%,4.16%
imunofen_C1.fcs,6.28,5.59,23.30,6.28%,5.59%,23.30%
imunofen_C2.fcs,4.46,5.52,21.80,4.46%,5.52%,21.80%
imunofen_C3.fcs,12.00,18.30,36.60,12.00%,18.30%,36.60%
mean,7.58,9.80,27.23,7.58%,9.80%,27.23%
std,3.93,7.36,8.15,3.93%,7.36%,8.15%
imunofen_D1.fcs,9.86,10.40,23.40,9.86%,10.40%,23.40%
imunofen_D2.fcs,11.80,12.10,26.10,11.80%,12.10%,26.10%
imunofen_D3.fcs,11.60,10.80,23.30,11.60%,10.80%,23.30%
mean,11.09,11.10,24.27,11.09%,11.10%,24.27%
std,1.07,0.89,1.59,1.07%,0.89%,1.59%
